"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex
,Guam,,"6,550","3,949",309,156,672,524,821,12,108,"2,474","1,808"
,"Northern Mariana
   Islands",,939,494,33,53,105,147,96,1,9,324,184
,Puerto Rico,,"404,580","209,571","16,727","4,289","44,730","16,072","102,720","1,647","8,823","123,523","115,776"
,Virgin Islands,,"11,552","8,164",322,175,836,523,"1,390",16,127,"4,160","3,836"
Foreign countries,,,"223,884","141,533","14,891","2,229","47,231","7,403","9,636",164,798,"90,474","97,637"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,Includes special age-72 beneficiaries.,,,,,,,,,,,,
b.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Policy
OASDI Beneficiaries by State and County, 2004
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2004/",,,,,,,,,,,,,
