"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of
Illinois,,,"2,205,859","1,569,838","51,432","13,216","205,715","59,983","284,867","1,386","19,421","835,124","860,224",,
Indiana,,,"1,288,870","900,026","29,320","6,711","117,012","35,190","186,820",993,"12,798","471,145","480,364",,
Iowa,,,"616,526","450,416","15,686","2,933","59,579","14,045","69,317",275,"4,275","241,742","244,200",,
Kansas,,,"522,873","375,211","11,901","2,586","47,462","13,027","67,935",250,"4,499","200,329","203,295",,
Kentucky,,,"861,173","511,086","21,694","4,395","86,007","24,512","198,009","1,657","13,812","284,329","279,977",,
Louisiana,,,"745,801","436,365","26,613","4,969","94,892","29,435","141,497","1,393","10,638","263,422","249,177",,
Maine,,,"289,594","194,614","6,444","1,386","23,843","6,157","53,099",244,"3,808","106,684","101,703",,
Maryland,,,"914,615","662,096","18,737","4,898","75,543","26,513","118,932",347,"7,550","339,466","361,802",,
Massachusetts,,,"1,207,840","851,453","24,017","6,320","94,632","27,787","188,489",546,"14,596","451,729","471,565",,
Michigan,,,"2,175,484","1,502,388","54,826","13,484","194,832","56,863","329,062","1,891","22,139","791,697","779,755",,
Minnesota,,,"938,896","691,140","21,634","4,475","77,968","20,647","115,225",334,"7,475","369,704","356,723",,
Mississippi,,,"564,156","346,176","10,613","3,967","49,834","20,648","122,834",711,"9,372","180,978","190,211",,
Missouri,,,"1,192,370","812,763","25,444","6,006","104,476","31,835","197,762",878,"13,206","433,998","433,695",,
Montana,,,"192,091","137,196","4,942","1,080","17,373","4,630","25,313",140,"1,418","77,061","68,170",,
Nebraska,,,"321,811","233,605","7,869","1,551","30,275","7,432","38,467",135,"2,476","126,764","127,740",,
Nevada,,,"428,178","314,915","7,997","2,220","29,904","9,976","59,410",232,"3,525","174,119","147,567",,
New Hampshire,,,"272,608","195,479","4,825","1,183","18,754","5,778","42,833",121,"3,634","104,139","98,291",,
New Jersey,,,"1,719,218","1,280,706","32,010","9,797","133,669","40,121","206,525",946,"15,444","649,947","702,060",,
New Mexico,,,"344,768","233,349","9,506","1,967","29,431","9,607","57,091",373,"3,443","129,458","119,075",,
New York,,,"3,602,818","2,571,969","75,786","23,781","284,350","83,858","522,112","2,806","38,156","1,300,958","1,421,726",,
North Carolina,,,"1,798,292","1,250,210","29,616","8,943","129,940","45,627","312,753","1,237","19,967","625,424","650,556",,
North Dakota,,,"118,640","83,383","4,068",594,"14,213","2,867","12,696",56,762,"47,937","46,696",,
Ohio,,,"2,215,149","1,514,080","67,373","11,538","242,664","58,149","300,962","1,815","18,567","842,969","830,771",,
Oklahoma,,,"704,557","470,875","16,484","3,630","66,567","20,281","118,723",682,"7,316","254,664","255,513",,
Oregon,,,"750,210","547,455","17,663","4,179","62,181","15,042","98,023",519,"5,148","291,935","276,420",,
Pennsylvania,,,"2,788,542","1,970,246","67,187","13,567","268,187","64,027","377,661","2,051","25,616","1,039,552","1,092,046",,
Rhode Island,,,"215,857","155,567","3,136","1,077","15,190","4,581","33,886",100,"2,321","78,118","85,384",,
South Carolina,,,"942,226","643,622","16,333","5,173","71,542","25,658","168,136",728,"11,034","330,121","327,467",,
South Dakota,,,"150,908","110,086","4,095",666,"14,785","3,587","16,645",53,991,"61,545","57,747",,
Tennessee,,,"1,257,202","837,850","27,425","6,758","108,735","35,162","225,456","1,249","14,568","440,127","443,039",,
Texas,,,"3,400,596","2,263,541","103,961","19,716","343,059","104,712","525,413","3,669","36,526","1,285,468","1,203,322",,
Utah,,,"334,190","238,908","10,610","2,202","26,414","11,308","41,410",223,"3,115","135,968","118,853",,
Vermont,,,"131,815","94,167","2,733",794,"10,357","2,782","19,497",76,"1,409","50,478","48,036",,
Virginia,,,"1,332,677","930,638","29,228","7,205","110,768","34,647","204,794","1,176","14,221","488,198","496,157",,
Washington,,,"1,172,821","845,946","29,612","6,438","93,854","25,090","161,735",711,"9,436","459,211","427,495",,
West Virginia,,,"448,604","259,271","14,532","2,366","51,799","12,082","100,886","1,348","6,320","151,071","147,194",,
Wisconsin,,,"1,140,891","833,550","23,864","5,928","95,943","26,037","145,441",553,"9,576","438,058","430,254",,
Wyoming,,,"95,541","69,373","2,331",448,"8,184","2,533","11,947",55,668,"39,133","33,692",,
Outlying areas,,,,,,,,,,,,,,,
,American Samoa,,"3,453","1,394",64,125,367,416,946,12,130,850,706,,
,Guam,,"9,465","5,755",353,207,963,737,"1,296",15,140,"3,480","2,713",,
,"Northern Mariana
   Islands",,"1,280",712,35,64,138,161,155,1,15,450,269,,
,Puerto Rico,,"554,150","293,619","21,521","5,031","54,455","17,544","148,756","2,292","10,931","172,267","163,157",,
,U.S. Virgin Islands,,"17,428","13,002",440,247,"1,112",608,"1,843",20,156,"6,742","6,064",,
Foreign countries,,,"309,625","201,141","21,476","3,704","59,579","9,728","12,634",215,"1,148","131,600","129,652",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,,,
a.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,,,
CONTACT:  Sheron Matthews (410) 966-4750 or oasdi.sc@ssa.gov.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2009
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2009/",,,,,,,,,,,,,,,
