"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of
Michigan,,,"1,910,947","1,309,825","52,990","11,158","185,796","53,619","276,485","1,655","19,419","697,466","701,257"
Minnesota,,,"823,464","597,793","21,548","3,536","75,212","18,927","99,470",336,"6,642","322,033","317,262"
Mississippi,,,"497,947","301,307","10,296","3,440","47,362","19,486","106,786",656,"8,613","158,506","169,762"
Missouri,,,"1,059,868","716,223","25,125","4,924","100,554","29,378","170,903",817,"11,944","383,432","392,209"
Montana,,,"168,254","118,123","4,877",906,"16,739","4,180","21,993",125,"1,311","66,980","60,558"
Nebraska,,,"290,108","208,530","8,135","1,298","29,530","6,864","33,307",126,"2,318","113,500","116,968"
Nevada,,,"369,289","267,686","7,482","1,809","27,537","9,287","52,148",205,"3,136","149,807","127,348"
New Hampshire,,,"237,887","168,694","4,630",963,"17,801","5,376","37,110",120,"3,194","90,170","86,628"
New Jersey,,,"1,535,998","1,137,090","30,452","8,083","128,455","37,502","179,705",826,"13,885","580,276","635,498"
New Mexico,,,"299,527","199,745","9,164","1,669","27,723","8,880","48,829",349,"3,169","112,125","104,171"
New York,,,"3,231,745","2,292,460","72,318","20,258","274,104","79,008","456,910","2,609","34,078","1,166,289","1,289,606"
North Carolina,,,"1,548,633","1,062,514","28,347","7,186","121,588","42,169","267,850","1,072","17,906","534,226","567,775"
North Dakota,,,"108,033","74,732","4,204",456,"13,984","2,684","11,240",54,681,"43,383","42,890"
Ohio,,,"1,982,811","1,344,862","66,310","9,773","233,889","53,571","256,326","1,572","16,509","756,602","763,033"
Oklahoma,,,"624,706","414,617","16,333","2,999","63,688","18,337","101,616",599,"6,515","225,073","229,524"
Oregon,,,"652,713","471,664","17,128","3,184","58,382","13,889","83,441",467,"4,557","254,013","244,445"
Pennsylvania,,,"2,512,443","1,758,432","66,285","11,552","261,648","59,603","329,746","1,940","23,236","935,287","999,976"
Rhode Island,,,"193,843","138,761","3,099",884,"14,642","4,244","30,018",90,"2,104","69,917","78,037"
South Carolina,,,"801,117","540,542","15,500","4,241","65,886","23,709","140,819",634,"9,786","278,224","282,663"
South Dakota,,,"134,026","96,288","4,228",555,"14,226","3,287","14,499",53,891,"54,246","51,926"
Tennessee,,,"1,089,862","715,961","26,221","5,611","102,696","32,620","192,652","1,114","12,986","378,161","390,617"
Texas,,,"2,947,003","1,944,303","97,042","16,451","322,194","96,540","436,196","3,220","31,056","1,109,088","1,058,306"
Utah,,,"288,039","204,258","9,886","1,804","24,461","10,074","34,581",199,"2,776","116,645","103,134"
Vermont,,,"115,179","81,306","2,677",634,"9,897","2,597","16,777",68,"1,222","43,704","42,459"
Virginia,,,"1,161,431","795,535","27,767","5,858","104,493","32,197","181,290","1,100","13,192","419,389","434,355"
Washington,,,"1,019,168","726,056","28,233","5,153","88,262","23,101","139,259",656,"8,448","396,002","374,407"
West Virginia,,,"405,337","229,572","13,999","2,088","50,281","11,139","91,055","1,212","5,991","134,741","135,105"
Wisconsin,,,"1,006,891","731,466","23,901","4,802","92,233","23,987","121,884",493,"8,125","387,639","388,103"
Wyoming,,,"83,979","60,290","2,271",350,"7,814","2,290","10,290",54,621,"34,157","29,988"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"3,086","1,171",62,123,323,395,867,12,131,729,601
,Guam,,"8,299","4,988",337,192,835,689,"1,122",11,127,"3,095","2,333"
,"Northern Mariana
   Islands",,"1,145",622,33,61,131,152,132,1,13,415,233
,Puerto Rico,,"481,104","254,552","19,315","4,641","50,446","16,853","124,085","1,947","9,265","150,706","142,024"
,U.S. Virgin Islands,,"14,751","10,718",385,220,"1,001",573,"1,690",19,146,"5,512","4,946"
Foreign countries,,,"272,572","175,243","18,666","2,949","54,425","8,632","11,504",178,976,"114,370","116,055"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
CONTACT:  Jennie Park (410) 965-9358 or oasdi.sc@ssa.gov.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2007
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2007/",,,,,,,,,,,,,
