"Table 2.
Number of beneficiaries in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2010",,,,,,,,,,,,,
,American Samoa,,"6,051","1,925",190,352,586,902,"1,271",60,765,"1,071","1,152"
,Guam,,"14,125","7,742",979,543,"1,339","1,388","1,490",64,580,"4,195","4,338"
,"Northern Mariana
   Islands",,"2,512","1,179",124,257,289,348,226,10,79,629,543
,Puerto Rico,,"800,269","389,565","59,693","13,127","80,344","33,605","169,369","9,100","45,466","211,476","261,680"
,U.S. Virgin Islands,,"19,385","13,447",944,464,"1,312",931,"1,731",53,503,"6,476","7,271"
Foreign countries,,,"548,315","333,247","86,030","9,740","86,594","15,248","13,349",614,"3,493","219,907","247,957"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
CONTACT: Sheron Matthews (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2010
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2010/",,,,,,,,,,,,,
