"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of beneficiaries aged 65 or older, December 2010 (in thousands of dollars)",,,,,,,,,,,,,
,Guam,,"9,918","6,098",353,205,991,763,"1,360",12,136,"3,621","2,859"
,"Northern Mariana
   Islands",,"1,346",768,36,72,146,152,159,1,12,477,284
,Puerto Rico,,"578,862","306,090","22,053","5,012","54,863","17,457","159,141","2,311","11,937","179,593","170,317"
,U.S. Virgin Islands,,"18,293","13,827",452,235,"1,157",592,"1,853",17,160,"7,229","6,480"
Foreign countries,,,"320,754","209,415","22,312","3,925","60,530","10,099","13,066",204,"1,203","137,211","133,132"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE: Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
CONTACT: Sheron Matthews (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2010
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2010/",,,,,,,,,,,,,
