"Table 3.
Amount of benefits in current-payment status, by state or other area, type of benefit, and sex of
Kentucky,,,"827,189","486,909","21,881","4,056","86,332","24,187","188,871","1,608","13,346","273,438","273,088"
Louisiana,,,"717,667","415,745","26,578","4,678","95,194","29,150","134,610","1,407","10,306","253,548","242,937"
Maine,,,"279,889","186,042","6,554","1,265","24,033","6,174","51,803",243,"3,775","102,954","99,332"
Maryland,,,"876,540","629,634","18,830","4,565","76,445","26,555","112,841",351,"7,319","326,089","349,637"
Massachusetts,,,"1,170,915","821,494","24,098","5,949","95,648","27,488","181,515",546,"14,176","437,348","462,030"
Michigan,,,"2,083,982","1,433,763","55,171","12,557","195,517","57,049","307,245","1,776","20,904","764,516","760,806"
Minnesota,,,"900,039","657,484","22,038","4,052","78,896","20,390","109,636",348,"7,196","355,102","345,846"
Mississippi,,,"541,975","329,643","10,682","3,818","49,948","20,719","117,315",699,"9,151","174,424","184,821"
Missouri,,,"1,150,109","779,391","25,881","5,522","105,365","31,565","188,681",858,"12,845","419,100","423,834"
Montana,,,"183,908","129,888","5,008",988,"17,576","4,538","24,375",141,"1,393","73,648","66,252"
Nebraska,,,"312,526","225,395","8,165","1,441","30,709","7,387","36,875",132,"2,422","122,994","125,434"
Nevada,,,"407,088","296,525","7,906","2,075","29,510","9,949","57,492",228,"3,402","165,987","140,829"
New Hampshire,,,"260,778","185,488","4,794","1,101","18,839","5,881","41,089",125,"3,461","99,547","95,022"
New Jersey,,,"1,663,434","1,234,168","31,827","9,142","134,604","40,098","197,732",918,"14,944","631,321","686,190"
New Mexico,,,"328,701","220,335","9,568","1,869","29,312","9,537","54,347",363,"3,370","123,652","114,302"
New York,,,"3,496,208","2,482,661","75,616","22,491","287,335","83,988","504,332","2,771","37,013","1,267,025","1,391,533"
North Carolina,,,"1,705,531","1,176,854","29,531","8,135","129,456","45,276","295,867","1,180","19,233","594,745","625,362"
North Dakota,,,"116,143","80,788","4,250",522,"14,571","2,828","12,373",56,756,"46,861","46,101"
Ohio,,,"2,144,294","1,457,895","68,224","10,879","244,830","57,635","285,148","1,716","17,967","821,526","818,606"
Oklahoma,,,"678,765","450,464","16,748","3,331","66,829","19,859","113,735",663,"7,135","245,581","248,412"
Oregon,,,"714,690","518,804","17,708","3,728","61,882","14,855","92,282",491,"4,940","279,591","267,149"
Pennsylvania,,,"2,710,656","1,901,728","68,253","12,831","272,830","63,793","364,036","2,048","25,137","1,014,158","1,075,516"
Rhode Island,,,"209,452","149,939","3,175","1,005","15,366","4,560","33,038",94,"2,275","75,821","83,792"
South Carolina,,,"888,484","602,818","16,248","4,775","70,753","25,507","157,111",687,"10,583","312,145","313,145"
South Dakota,,,"145,585","105,213","4,268",612,"14,895","3,543","16,012",57,984,"59,316","56,316"
Tennessee,,,"1,196,982","790,590","27,433","6,291","108,689","34,793","213,977","1,223","13,987","419,656","427,797"
Texas,,,"3,237,555","2,139,557","102,425","18,356","341,180","103,833","494,137","3,564","34,503","1,224,721","1,158,582"
Utah,,,"317,103","225,088","10,443","2,023","26,085","10,959","39,241",222,"3,042","129,369","113,749"
Vermont,,,"126,027","89,281","2,763",737,"10,396","2,768","18,647",75,"1,361","48,385","46,336"
Virginia,,,"1,273,789","879,166","29,112","6,678","110,799","34,484","198,403","1,164","13,983","465,488","476,987"
Washington,,,"1,117,592","800,499","29,439","5,850","93,548","24,771","153,780",703,"9,001","438,278","410,855"
West Virginia,,,"437,536","249,098","14,623","2,254","52,590","11,988","99,339","1,326","6,318","146,760","145,000"
Wisconsin,,,"1,096,491","798,355","24,416","5,453","96,888","25,839","136,013",520,"9,006","423,915","420,219"
Wyoming,,,"91,622","65,951","2,345",410,"8,233","2,541","11,450",51,642,"37,579","32,587"
Outlying areas,,,,,,,,,,,,,
,American Samoa,,"3,363","1,301",69,126,365,423,932,12,136,810,670
,Guam,,"9,128","5,491",358,201,931,738,"1,260",13,135,"3,388","2,587"
,"Northern Mariana
   Islands",,"1,235",688,34,66,134,151,149,1,13,442,256
,Puerto Rico,,"527,510","279,670","20,902","4,951","53,841","17,590","138,326","2,181","10,049","165,399","156,166"
,U.S. Virgin Islands,,"16,432","12,035",420,244,"1,084",622,"1,854",17,155,"6,204","5,647"
Foreign countries,,,"297,642","192,235","20,475","3,414","58,345","9,435","12,433",197,"1,108","125,754","125,849"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SOURCE:  Social Security Administration, Master Beneficiary Record, 100 percent data.",,,,,,,,,,,,,
a.,"Includes nondisabled widow(er)s, disabled widow(er)s, widowed mothers and fathers, and parents.",,,,,,,,,,,,
CONTACT:  Jennie Park (410) 965-9358 or oasdi.sc@ssa.gov.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"File available from:
Social Security Administration, Office of Retirement and Disability Policy
OASDI Beneficiaries by State and County, 2008
http://www.socialsecurity.gov/policy/docs/statcomps/oasdi_sc/2008/",,,,,,,,,,,,,
